category,food_id,food_name,calorie,water,protein,fat,cholesterol,carb,fiber,ash
10,10184,＜魚類＞したびらめ　生　　　,96,78,19.2,1.6,75,,0,1.2
10,10185,＜魚類＞しまあじ　養殖　生　　　,168,68.9,21.9,8,71,0.1,0,1.1
10,10186,＜魚類＞しらうお　生　　　,77,82.6,13.6,2,220,0.1,0,1.7
10,10187,＜魚類＞シルバー　生　　　,153,72.4,18.6,7.9,46,,0,1.1
10,10188,＜魚類＞すずき　生　　　,123,74.8,19.8,4.2,67,,0,1.2
10,10189,＜魚類＞（たい類）　きだい　生　　,108,76.9,18.6,3.1,67,0.2,0,1.2
10,10190,＜魚類＞（たい類）　くろだい　生　　,150,71.4,20.4,6.7,78,0.3,0,1.2
10,10191,＜魚類＞（たい類）　ちだい　生　　,105,76.8,19.4,2.4,74,0.1,0,1.3
10,10192,＜魚類＞（たい類）　まだい　天然　生　　,142,72.2,20.6,5.8,65,0.1,0,1.3
10,10193,＜魚類＞（たい類）　まだい　養殖　皮つき　生　　,177,68.5,20.9,9.4,69,0.1,0,1.3
10,10408,＜魚類＞（たい類）　まだい　養殖　皮なし　刺身　　,146,71.9,21.2,5.9,60,0.2,0,1.3
10,10194,＜魚類＞（たい類）　まだい　養殖　皮つき　水煮　　,206,65,22.2,11.9,90,0.1,0,1.2
10,10195,＜魚類＞（たい類）　まだい　養殖　皮つき　焼き　　,210,63.8,22.7,12,91,0.1,0,1.4
10,10196,＜魚類＞たかさご　生　　　,100,76.7,20.2,1.5,50,0.1,0,1.5
10,10197,＜魚類＞たかべ　生　　　,164,71,18.7,9,70,,0,1.3
10,10198,＜魚類＞たちうお　生　　　,266,61.6,16.5,20.9,72,,0,1
10,10199,＜魚類＞（たら類）　すけとうだら　生　　,76,81.6,17.4,0.3,76,0,0,1.1
10,10409,＜魚類＞（たら類）　すけとうだら　フライ　　,207,61.9,19.2,11.9,89,5.7,,1.2
10,10200,＜魚類＞（たら類）　すけとうだら　すり身　　,98,75.1,17.5,0.2,27,6.6,0,0.6
10,10201,＜魚類＞（たら類）　すけとうだら　すきみだら　　,174,38.2,40.5,0.3,140,0.1,0,20.9
10,10202,＜魚類＞（たら類）　すけとうだら　たらこ　生　,140,65.2,24,4.7,350,0.4,0,5.7
10,10203,＜魚類＞（たら類）　すけとうだら　たらこ　焼き　,170,58.6,28.3,6.1,410,0.5,0,6.5
10,10204,＜魚類＞（たら類）　すけとうだら　からしめんたいこ　　,126,66.6,21,3.3,280,3,0,6.1
10,10205,＜魚類＞（たら類）　まだら　生　　,77,80.9,17.6,0.2,58,0.1,0,1.2
10,10206,＜魚類＞（たら類）　まだら　焼き　　,109,72.8,25.2,0.2,100,0.2,0,1.6
10,10207,＜魚類＞（たら類）　まだら　しらこ　生　　,62,83.8,13.4,0.8,360,0.2,0,1.8
10,10208,＜魚類＞（たら類）　まだら　塩だら　　,65,82.1,15.2,0.1,60,,0,2.6
10,10209,＜魚類＞（たら類）　まだら　干しだら　　,317,18.5,73.2,0.8,240,0.1,0,7.4
10,10210,＜魚類＞（たら類）　まだら　でんぶ　　,278,26.9,25.5,1.1,130,41.5,0,5
10,10211,＜魚類＞ちか　生　　　,88,78.3,19.5,0.6,89,,0,1.6
10,10213,＜魚類＞どじょう　生　　　,79,79.1,16.1,1.2,210,,0,3.6
10,10214,＜魚類＞どじょう　水煮　　　,83,77.9,17.1,1.2,220,,0,3.8
10,10215,＜魚類＞とびうお　生　　　,96,76.9,21,0.7,59,0.1,0,1.3
10,10212,＜魚類＞ナイルティラピア　生　　　,134,73.5,19.8,5.3,59,0.2,0,1.2
10,10216,＜魚類＞なまず　生　　　,159,72,18.4,8.6,73,,0,1
10,10217,＜魚類＞にぎす　生　　　,91,78.5,18.7,1.2,120,0.1,0,1.5
10,10218,＜魚類＞にしん　生　　　,216,66.1,17.4,15.1,68,0.1,0,1.3
10,10219,＜魚類＞にしん　身欠きにしん　　　,246,60.6,20.9,16.7,230,0.2,0,1.6
10,10220,＜魚類＞にしん　開き干し　　　,264,59.8,18.5,19.7,85,0.2,0,1.8
10,10221,＜魚類＞にしん　くん製　　　,305,43.9,23.1,22.1,86,,0,10.9
10,10222,＜魚類＞にしん　かずのこ　生　　,162,66.1,25.2,6.7,370,0.2,0,1.8
10,10223,＜魚類＞にしん　かずのこ　乾　　,385,16.5,65.2,13.6,1000,0.5,0,4.2
10,10224,＜魚類＞にしん　かずのこ　塩蔵　水戻し　　,89,80,15,3,230,0.6,0,1.4
10,10225,＜魚類＞はぜ　生　　　,83,79.4,19.1,0.2,92,0.1,0,1.2
